ladxxcd,ladxxnm,itl221cd,itl221nm
E06000001,Hartlepool,TLC1,Tees Valley and Durham
E06000004,Stockton-on-Tees,TLC1,Tees Valley and Durham
E06000002,Middlesbrough,TLC1,Tees Valley and Durham
E06000003,Redcar and Cleveland,TLC1,Tees Valley and Durham
E06000005,Darlington,TLC1,Tees Valley and Durham
E06000047,County Durham,TLC1,Tees Valley and Durham
E06000057,Northumberland,TLC2,"Northumberland, and Tyne and Wear"
E08000021,Newcastle upon Tyne,TLC2,"Northumberland, and Tyne and Wear"
E08000022,North Tyneside,TLC2,"Northumberland, and Tyne and Wear"
E08000023,South Tyneside,TLC2,"Northumberland, and Tyne and Wear"
E08000037,Gateshead,TLC2,"Northumberland, and Tyne and Wear"
E08000024,Sunderland,TLC2,"Northumberland, and Tyne and Wear"
E07000026,Allerdale,TLD1,Cumbria
E07000027,Barrow-in-Furness,TLD1,Cumbria
E07000029,Copeland,TLD1,Cumbria
E07000028,Carlisle,TLD1,Cumbria
E07000030,Eden,TLD1,Cumbria
E07000031,South Lakeland,TLD1,Cumbria
E08000003,Manchester,TLD3,Greater Manchester
E08000006,Salford,TLD3,Greater Manchester
E08000009,Trafford,TLD3,Greater Manchester
E08000007,Stockport,TLD3,Greater Manchester
E08000008,Tameside,TLD3,Greater Manchester
E08000001,Bolton,TLD3,Greater Manchester
E08000010,Wigan,TLD3,Greater Manchester
E08000002,Bury,TLD3,Greater Manchester
E08000004,Oldham,TLD3,Greater Manchester
E08000005,Rochdale,TLD3,Greater Manchester
E06000008,Blackburn with Darwen,TLD4,Lancashire
E06000009,Blackpool,TLD4,Lancashire
E07000121,Lancaster,TLD4,Lancashire
E07000128,Wyre,TLD4,Lancashire
E07000119,Fylde,TLD4,Lancashire
E07000123,Preston,TLD4,Lancashire
E07000124,Ribble Valley,TLD4,Lancashire
E07000126,South Ribble,TLD4,Lancashire
E07000117,Burnley,TLD4,Lancashire
E07000120,Hyndburn,TLD4,Lancashire
E07000122,Pendle,TLD4,Lancashire
E07000125,Rossendale,TLD4,Lancashire
E07000118,Chorley,TLD4,Lancashire
E07000127,West Lancashire,TLD4,Lancashire
E06000007,Warrington,TLD6,Cheshire
E06000049,Cheshire East,TLD6,Cheshire
E06000050,Cheshire West and Chester,TLD6,Cheshire
E06000006,Halton,TLD7,Merseyside
E08000011,Knowsley,TLD7,Merseyside
E08000013,St. Helens,TLD7,Merseyside
E08000012,Liverpool,TLD7,Merseyside
E08000014,Sefton,TLD7,Merseyside
E08000015,Wirral,TLD7,Merseyside
E06000010,"Kingston upon Hull, City of",TLE1,East Yorkshire and Northern Lincolnshire
E06000011,East Riding of Yorkshire,TLE1,East Yorkshire and Northern Lincolnshire
E06000012,North East Lincolnshire,TLE1,East Yorkshire and Northern Lincolnshire
E06000013,North Lincolnshire,TLE1,East Yorkshire and Northern Lincolnshire
E06000014,York,TLE2,North Yorkshire
E07000163,Craven,TLE2,North Yorkshire
E07000164,Hambleton,TLE2,North Yorkshire
E07000165,Harrogate,TLE2,North Yorkshire
E07000166,Richmondshire,TLE2,North Yorkshire
E07000167,Ryedale,TLE2,North Yorkshire
E07000168,Scarborough,TLE2,North Yorkshire
E07000169,Selby,TLE2,North Yorkshire
E08000016,Barnsley,TLE3,South Yorkshire
E08000017,Doncaster,TLE3,South Yorkshire
E08000018,Rotherham,TLE3,South Yorkshire
