lad21cd,lad21nm,itl221cd,itl221nm,itl121cd,itl121nm
E07000227,Horsham,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000228,Mid Sussex,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E06000044,Portsmouth,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England)
E06000045,Southampton,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England)
E06000046,Isle of Wight,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England)
E07000086,Eastleigh,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England)
E07000087,Fareham,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England)
E07000088,Gosport,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England)
E07000090,Havant,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England)
E07000085,East Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England)
E07000091,New Forest,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England)
E07000093,Test Valley,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England)
E07000094,Winchester,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England)
E07000084,Basingstoke and Deane,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England)
E07000089,Hart,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England)
E07000092,Rushmoor,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England)
E06000035,Medway,TLJ4,Kent,TLJ,South East (England)
E07000107,Dartford,TLJ4,Kent,TLJ,South East (England)
E07000109,Gravesham,TLJ4,Kent,TLJ,South East (England)
E07000113,Swale,TLJ4,Kent,TLJ,South East (England)
E07000106,Canterbury,TLJ4,Kent,TLJ,South East (England)
E07000108,Dover,TLJ4,Kent,TLJ,South East (England)
E07000112,Folkestone and Hythe,TLJ4,Kent,TLJ,South East (England)
E07000114,Thanet,TLJ4,Kent,TLJ,South East (England)
E07000105,Ashford,TLJ4,Kent,TLJ,South East (England)
